Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Short description,Status,Popularity,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Product availability,Options type,Exceptions type,Store,Attachments,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion
"","ja","11","宿泊施設","0.00","17250.00","0.000","100","0","0.00","08 Nov 2021 19:16:33","N","","N","B","N","R","","","GLOCE 石田ヴィレッジ ｜宮古島の自然を満喫できるプライベートログハウス 無料駐車場付き","<p>宮古の自然と融合した木造プライベートヴィラ別荘。<br></p><p>２階建ての2LDK・テラス完備<br>内装はモダンで趣のある家具家電を使用しております。<br>コンロが３つ完備の大型キッチンに加え、大人数でお食事いただけるダイニングセットも完備しております。その他家具家電・食器も揃えておりますので、料理はもちろん、長期にてご利用いただくニーズにもお応えできる施設となっております。<br>外観は閑静な自然の中に、落ち着いた時間の流れを感じていただける、解放感溢れた施設です。周りに街灯がないため夜は満天の星をご覧いただけます。<br>お客様の用途に合わせて、自然と触れ合いながら、思い出づくりを楽しんでいただけます。</p>","","","","","","","","宿泊施設///宮古島エリア","","D","36","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=11","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","12","宿泊施設","0.00","10000.00","0.000","100","0","0.00","08 Nov 2021 19:17:35","N","","N","B","N","R","","","GLOCE 宮古島 Airport village | 宮古空港から車で3分のプライベート空間","<p><strong></strong>宮古空港から車で3分のロケーションにあるコンテナハウスの一室を貸し切りできます。</p><p>コンテナハウスのためコンパクトな設計ですが、無料駐車場、テレビ、洗濯機、冷蔵庫、電子レンジ、基本的な調理器具等揃えているため、長期利用やリモートワークにもご利用いただけます。<br>※Wifiは有線のルーターをお持ちいただければご利用いただけます。<br>また、平良の中心市街や、東洋一といわれる与那覇前浜海岸へも車で約10分で行くことができ、観光を楽しみたい方にもおすすめの宿泊施設です。<br>皆様のご利用を心よりお待ちしております。</p><p><strong></strong></p>","","","","","","","","宿泊施設///宮古島エリア","","D","68","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=12","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","13","宿泊施設","0.00","10000.00","0.000","100","0","0.00","08 Nov 2021 19:18:35","N","","N","B","N","R","","","GLOCE 宮古島 LAPSI｜与那覇前浜ビーチまで徒歩5分 宮古島の自然を満喫できるゲストハウ","<p>LAPSIは与那覇前浜ビーチの近くにある、オーナー同居型のゲストハウスです。2階建て吹き抜けのログハウスは全て木で作られており、日当たりも良好で心地よい空間となっています。</p><p>ホスト同居型のため共用部がございますが、2階の寝室は鍵付きのプライベートルームのためご安心ください。</p><p>お家は宮古島の自然を満喫いただける場所にあります。東洋一と称される与那覇前浜ビーチには、徒歩5分圏内にあり、どこまでも澄んだ「宮古ブルー」の海と、約7kmも続く真っ白な砂浜のコントラストの絶景を見ることができます。周辺はサトウキビ畑に囲まれているため、とても静かで、天候次第では満天の星空と天の川も見ることができます。</p><p>宮古島出身のホストとその家族（妻・小学生3人）ペットのタロウ（琉球犬の雑種）がゲストをお迎えします。タロウはおとなしく、人懐っこい性格です。屋外にいますが、犬が苦手な方は予めお伝えください。</p><p>Lapsiでの日常は以下のインスタグラムのアカウントからご覧いただけます。<br>是非ご覧ください！</p><p>アカウント名：guesthouse_lapsi</p><p>皆様のお越しを心よりお待ちしております。</p>","","","","","","","","宿泊施設///宮古島エリア","","D","39","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=13","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","14","宿泊施設","0.00","10000.00","0.000","100","0","0.00","08 Nov 2021 19:19:21","N","","N","B","N","R","","","GLOCE 宮古島 ポートサイドハウス｜砂山ビーチ近くのオーシャンビューバルコニー","<p>砂山ビーチから車で4分のロケーションにある、広々とした平屋の一軒家を貸し切りできます。30㎡以上あるバルコニーからは伊良部大橋と西の海を眺めることができ、ここから見る海に沈む夕日はとてもキレイです。</p><p>周辺がサトウキビ畑のため、天気がよければ夜には星空を見ることができます。</p>","","","","","","","","宿泊施設///宮古島エリア","","D","91","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=14","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","15","宿泊施設///東京エリア","0.00","11000.00","0.000","100","0","0.00","10 Nov 2021 18:52:28","N","","N","B","N","R","","","GLOCE 墨田 杜の夢｜ワーケーションに最適な木の温もりを感じるゲストハウス","<p>墨田区本所という安心感のある都心の街で、室内は森のコテージに住んでいるかのような、木を基調とした空間を貸し切りできます。</p><p>広々とした畳付きのLDK（2名がゆったり寝れます）と寝室が1部屋あり（3名用）、最大5名までご利用可能です。<br>都内の回遊観光の拠点として最適です！！<br>徒歩圏内にたくさんのカフェや老舗も点在し、リモートワーク中も気晴らしできるところがたくさんございます。<br>域外、都内在住の方でも、リラックスした下町の雰囲気を味わいたい方にはおススメです。<br>駐車場は、近隣のコインパーキングをご利用ください。(一日最大1500円でございます。)<br>なお費用はご自身のご負担になります。</p>","","","","","","","","","","D","51","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=15","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","16","宿泊施設","0.00","9000.00","0.000","100","0","0.00","10 Nov 2021 18:59:43","N","","N","B","N","R","","","GLOCE 美幌 GUEST ROOM ｜知床半島近くの美幌町にあるアパート一室を貸し切り","<p>美幌町は自然が豊かで、降雪量が北海道の気候としては少ない部類に入り、自然災害が少なく温和地域に位置しています。</p><p>また、流氷で有名な網走市には車で40分、知床半島の入口である斜里市には1時間と、観光には好立地の町であり、商業施設や交通、医療機関等の都市機能が充実しているので、過ごしやすい環境となっています。<br>そんな北海道の自然を満喫するのには最適な、美幌町にあるアパートの一室を貸し切りできます。<br>また、当施設はリモートワークの設備が揃っています。HDMI端子付きのスクリーン、リモートワーク用のテーブルをご用意いております。<br>ご家族、友人、一人旅でプライベートな空間でゆっくり過ごされたい方にはおすすめの施設です。</p><p></p>","","","","","","","","宿泊施設///北海道エリア","","D","85","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=16","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","17","宿泊施設","0.00","11000.00","0.000","100","0","0.00","10 Nov 2021 19:04:04","N","","N","B","N","R","","","GLOCE 横須賀 GUEST ROOM @県立大学｜駅徒歩5分のマンションタイプのお部屋","<p></p><p>京浜急行県立大学駅から歩いて５分のロケーションにある、長期滞在可能の、1DKタイプの宿泊施設です。<br>マンションの1部屋を貸切ることができます。<br>広々とした机、胡坐をかいても座れるゆとりのある椅子、高速ネットワークをご用意しておりますので、快適にリモートワークをすることができます。<br>また、三浦半島の観光名所にも近いので、ビジネスそして観光の拠点としてご利用ください。</p>","","","","","","","","宿泊施設///湘南エリア","","D","47","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=17","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","18","宿泊施設","16100.00","16100.00","0.000","100","0","0.00","08 Nov 2021 18:35:45","N","","N","B","N","R","","","GLOCE 逗子ビーチハウス｜逗子海岸を一望するゲストハウスで海辺暮らしを体験ペット可","<p></p><p>ハーフマイルビーチの逗子海岸まで、歩いて1分の好立地な場所にあるゲストハウスです。<br>1階と2階から逗子海岸を一望することができ、海辺の暮らしを満喫できること間違いなしです。<br>一組限定の貸し切りの宿泊施設のため、ご利用期間中は自身のお家としてご利用いただけます。<br>また、ペットの同伴が可能なため、ペットのご家族と一緒に宿泊することができます。</p>","","","GLOCE　逗子","","","","","宿泊施設///湘南エリア","","D","36","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=18","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","19","GLOCAL便","0.00","324.00","0.000","1","0","0.00","01 Dec 2021 16:48:45","N","","N","B","N","R","","","suzukiya×gloce グロースお食事パッケージプラン手作りの美味しさと焼きたての香りを！","<p>モーニングロール（6個入り）</p>","","","","","","","","GLOCAL便///湘南サテライト","","D","33","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=19","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","20","GLOCAL便///湘南サテライト","0.00","226.00","0.000","1","0","0.00","01 Dec 2021 16:49:28","N","","N","B","N","R","","","suzukiya×gloce グロースお食事パッケージプラン・手作りの美味しさと焼きたての香りを！","<p>バタール　1本</p>","","","","","","","","","","D","33","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=20","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
